imagem,limiar_T,detectados,anotados,vp,fp,fn,erro_contagem
captura_2023-10-11_16-39-36_png.rf.6622414af54ab5e12b4628e9932ec514.jpg,84.0,0,1,0,0,1,-1
captura_2023-10-02_15-35-18_png.rf.0cc9019a8581b348b494455c5c8e26e5.jpg,58.0,1,1,0,1,1,0
captura_2023-10-02_15-48-38_png.rf.7e2fd7ddfab549f1a9fd1379db15026c.jpg,54.0,1,1,0,1,1,0
captura_2023-10-02_15-26-53_png.rf.90f6d257e1d915ca5f1ad616076b7709.jpg,66.0,1,1,0,1,1,0
captura_2023-10-02_15-20-45_png.rf.6d8b5287ee5f8d2c4dd03c62169769e1.jpg,77.0,3,1,1,2,0,2
captura_2023-10-10_18-12-30_png.rf.f38c46060da0cb2113a19c203fcb9100.jpg,82.0,2,1,0,2,1,1
captura_2023-10-05_18-19-07_png.rf.2ba4057540c31987f0ffa7cae3930955.jpg,97.0,1,1,0,1,1,0
captura_2023-10-02_15-47-09_png.rf.5c177b17530dff03f082d935397f597a.jpg,66.0,1,1,0,1,1,0
captura_2023-10-05_16-13-57_png.rf.4a23b61897fb41315f405cac4f9d27d2.jpg,77.0,2,1,1,1,0,1
captura_2023-10-02_15-13-25_png.rf.0984a98b8fb01d72e133af40fb4494a8.jpg,89.0,2,1,0,2,1,1
captura_2023-09-27_14-27-27_png.rf.be716e0227287e888646d82af56476b0.jpg,72.0,3,1,1,2,0,2
captura_2023-10-09_13-04-51_png.rf.1eef8c30541c251c369fba88b6e06bf5.jpg,90.0,1,1,0,1,1,0
captura_2023-10-02_15-39-53_png.rf.59118a831b13b5260cf02bf39309feab.jpg,49.0,0,1,0,0,1,-1
captura_2023-10-02_15-07-07_png.rf.a56673e405de4286f15cf3e1edd9acf1.jpg,59.0,2,1,0,2,1,1
captura_2023-10-09_13-56-53_png.rf.f9d767ca6e06be75e4cc3bce717b01c3.jpg,133.0,1,1,0,1,1,0
captura_2023-10-02_15-22-23_png.rf.445cba631a8836349b4aff9ffff77237.jpg,79.0,3,1,1,2,0,2
captura_2023-10-02_15-36-35_png.rf.e6ae22670ee71cd7d57329ae74a18cc9.jpg,62.0,1,3,0,1,3,-2
captura_2023-10-02_16-06-20_png.rf.05f33184e8a78892bfbfe95509e63ee8.jpg,58.0,0,1,0,0,1,-1
captura_2023-10-02_15-44-57_png.rf.27354ac5bf3a5bf198be53b0c96ccb98.jpg,43.0,0,4,0,0,4,-4
captura_2023-09-27_14-35-16_png.rf.26696ccceffefc3eb17bcb6ebbdbc5ac.jpg,69.0,2,1,0,2,1,1
captura_2023-10-11_16-35-27_png.rf.0880667e45364ed0f78951bc60ada7fb.jpg,77.0,1,1,0,1,1,0
captura_2023-10-02_15-35-38_png.rf.561e15e5c67507c929316bd5fca4ec6b.jpg,56.0,1,1,0,1,1,0
captura_2023-10-02_15-46-34_png.rf.1b15b71137070657e44ece76176576ac.jpg,53.0,0,2,0,0,2,-2
captura_2023-09-27_14-46-35_png.rf.a96066c4635a25ab8165f94ae3cb4906.jpg,67.0,2,1,1,1,0,1
captura_2023-10-02_16-05-20_png.rf.76e7692243b3c840534fb84833495885.jpg,45.0,0,1,0,0,1,-1
captura_2023-10-02_15-15-56_png.rf.b45184459b19e124e831d48d2fca0a0d.jpg,79.0,5,1,0,5,1,4
captura_2023-10-02_15-49-08_png.rf.148b1f143d2908ddcc8532cc5f4909c5.jpg,68.0,2,1,0,2,1,1
captura_2023-10-02_15-37-10_png.rf.9cd31f27ace0e934100c3f34c4b52812.jpg,45.0,1,2,0,1,2,-1
captura_2023-10-11_16-43-30_png.rf.e96e24f5a867241953d2a202dff1a405.jpg,78.0,1,1,0,1,1,0
captura_2023-10-11_16-42-22_png.rf.fb1fb9a8e31f385344d2a1f8f8f7f496.jpg,82.0,1,1,0,1,1,0
captura_2023-09-27_14-27-44_png.rf.6345e8c4b35b06cc54a1a1b94dce27f0.jpg,71.0,1,1,0,1,1,0
captura_2023-10-02_15-08-35_png.rf.a0a531baea0daf49b56aa640f7cad9e7.jpg,63.0,1,1,0,1,1,0
captura_2023-10-02_15-16-34_png.rf.bd9018e403e52d1ae9b59569b2725895.jpg,87.0,1,1,0,1,1,0
captura_2023-10-09_12-53-20_png.rf.2927c1b4b1b0f1f2cab99d78199088e6.jpg,89.0,2,1,0,2,1,1
captura_2023-10-09_12-54-18_png.rf.fe80098eff53e6b2fb9e6d5e3939b1a0.jpg,76.0,4,1,0,4,1,3
captura_2023-10-02_15-19-45_png.rf.9fc19652936498a59faa7ae30231f28b.jpg,84.0,0,2,0,0,2,-2
captura_2023-10-02_15-12-32_png.rf.445839fc3a8f4614e310c597beb97e87.jpg,90.0,1,1,0,1,1,0
captura_2023-10-09_15-19-13_png.rf.45c60a91142be6dc2b9ec38a3b1b4ee3.jpg,80.0,0,2,0,0,2,-2
captura_2023-09-28_15-22-35_png.rf.87f484571224431b905601ab7f7b95a7.jpg,79.0,0,1,0,0,1,-1
captura_2023-10-10_17-54-49_png.rf.cbac2cc3c1d679f3d05c54d013a77ab6.jpg,93.0,0,1,0,0,1,-1
captura_2023-10-02_15-34-44_png.rf.0a623448b283cf01e6b20022e9da4ece.jpg,57.0,1,1,0,1,1,0
captura_2023-10-02_15-47-53_png.rf.19a593fb5369b662a7365069892e18b4.jpg,46.0,0,2,0,0,2,-2
captura_2023-10-05_15-38-04_png.rf.363f8afdce02c0b38ede89223974ec8b.jpg,142.0,0,1,0,0,1,-1
captura_2023-10-02_15-48-18_png.rf.650dd5c376c722109d4331172f4dfbca.jpg,67.0,0,1,0,0,1,-1
captura_2023-09-27_14-31-27_png.rf.35cbd3219f43aec974e7364c708c23eb.jpg,78.0,2,1,1,1,0,1
captura_2023-10-02_15-23-02_png.rf.5aa4c29fd786ee86063a23c9f945b236.jpg,76.0,1,1,1,0,0,0
captura_2023-10-11_16-34-42_png.rf.72e19aeadef3f15dd1b696cbf2255f22.jpg,77.0,0,1,0,0,1,-1
captura_2023-10-02_15-19-08_png.rf.d0a54215cd67482f705c5ca3afddb6db.jpg,83.0,1,1,0,1,1,0
captura_2023-10-02_16-05-25_png.rf.b8826490ff604a33820b2608313d4080.jpg,48.0,0,1,0,0,1,-1
captura_2023-10-05_15-32-23_png.rf.f400cfbdab0daac41d501b3a75830291.jpg,66.0,2,1,0,2,1,1
captura_2023-10-02_15-23-18_png.rf.c5f3bd449cd5544ff2654523062f1391.jpg,77.0,2,1,0,2,1,1
captura_2023-10-09_13-52-08_png.rf.a7eb7e4f09b88a1fb03460ccf7a1b7fc.jpg,68.0,2,1,0,2,1,1
captura_2023-10-02_15-13-46_png.rf.3001940830bb2326f4ae200f035c11c7.jpg,87.0,1,1,0,1,1,0
